disease,text
eczema,"The patient has patches of skin that are rough and scaly located on the neck and chest; the person feels self-conscious and embarrassed about visible patches. The condition is chronic, requiring ongoing moisturization and care and often flares after contact with irritants or chemicals."
eczema,"On the hands and fingers show intensely itchy, dry and scaly patches of skin; patient notes they feels self-conscious and embarrassed about visible patches. This is typically moderate with frequent flares and may be triggered by hot showers or harsh cleansers."
eczema,"On the trunk and limbs show red, inflamed rash with small bumps; patient notes they reports anxiety and frustration about frequent flare-ups. This is typically chronic, requiring ongoing moisturization and care and often flares after contact with irritants or chemicals."
eczema,"Blistering or weeping lesions in acute flares appearing in skin creases and folds. The patient feels unbearably itchy, especially at night and describes the disease as mild and intermittent. Sometimes flares after infections or insect bites."
eczema,"Symptoms include patches of skin that are rough and scaly at on the hands and fingers. The individual has pain and tenderness from cracks and fissures — the eczema is variable, with periods of calm and sudden flare-ups and may flare with stress or lack of sleep."
eczema,"The patient has intensely itchy, dry and scaly patches of skin located on the wrists and ankles; the person feels the skin is tight and raw after scratching. The condition is moderate with frequent flares and sometimes flares after infections or insect bites."
eczema,Blistering or weeping lesions in acute flares appearing in skin creases and folds. The patient experiences social discomfort and reduced quality of life and describes the disease as moderate with frequent flares. May flare with stress or lack of sleep.
eczema,"Dry, cracked skin that may bleed or ooze appearing in skin creases and folds. The patient feels the skin is tight and raw after scratching and describes the disease as mild and intermittent. Can worsen during periods of hormonal change."
eczema,Presentation: faintly discolored patches that are darker or lighter than surrounding skin on inside the elbows and behind the knees. Patient reports constant discomfort and burning sensation. Course: severe and persistent; commonly can be aggravated by certain fabrics like wool.
eczema,"Symptoms include intensely itchy, dry and scaly patches of skin at on the neck and chest. The individual experiences social discomfort and reduced quality of life — the eczema is mild and intermittent and frequently triggered by soaps, detergents, or fragrances."
eczema,"In skin creases and folds show red, inflamed rash with small bumps; patient notes they feels self-conscious and embarrassed about visible patches. This is typically moderate with frequent flares and often flares after contact with irritants or chemicals."
eczema,"Presentation: dry, cracked skin that may bleed or ooze on on the wrists and ankles. Patient feels the skin is tight and raw after scratching. Course: chronic, requiring ongoing moisturization and care; commonly may be triggered by hot showers or harsh cleansers."
eczema,"Symptoms include skin that flakes, crusts, or forms scabs at on the neck and chest. The individual has pain and tenderness from cracks and fissures — the eczema is variable, with periods of calm and sudden flare-ups and linked to exposure to allergens like dust and pollen."
eczema,"The patient has skin that flakes, crusts, or forms scabs located on the palms and soles; the person reports constant discomfort and burning sensation. The condition is moderate with frequent flares and sometimes worsened by sweating or heat."
eczema,"Inside the elbows and behind the knees show patches of skin that are rough and scaly; patient notes they experiences social discomfort and reduced quality of life. This is typically chronic, requiring ongoing moisturization and care and sometimes worsened by sweating or heat."
eczema,"The patient has thickened, leathery skin from repeated scratching located inside the elbows and behind the knees; the person reports constant discomfort and burning sensation. The condition is mild and intermittent and sometimes worsened by sweating or heat."
eczema,"Intensely itchy, dry and scaly patches of skin appearing around the eyes and eyelids. The patient reports constant discomfort and burning sensation and describes the disease as chronic, requiring ongoing moisturization and care. Sometimes worsened by sweating or heat."
eczema,On the neck and chest show faintly discolored patches that are darker or lighter than surrounding skin; patient notes they feels the skin is tight and raw after scratching. This is typically moderate with frequent flares and can worsen during periods of hormonal change.
eczema,"The patient has faintly discolored patches that are darker or lighter than surrounding skin located on the neck and chest; the person notices intense pruritus that triggers scratching. The condition is variable, with periods of calm and sudden flare-ups and sometimes worsened by sweating or heat."
eczema,"Symptoms include red, inflamed rash with small bumps at on the trunk and limbs. The individual feels restless and loses sleep due to the itch — the eczema is variable, with periods of calm and sudden flare-ups and may be triggered by hot showers or harsh cleansers."
eczema,"The patient has intensely itchy, dry and scaly patches of skin located on the hands and fingers; the person feels unbearably itchy, especially at night. The condition is variable, with periods of calm and sudden flare-ups and linked to exposure to allergens like dust and pollen."
eczema,"Presentation: thickened, leathery skin from repeated scratching on on the neck and chest. Patient experiences sharp stinging when skin is broken. Course: chronic, requiring ongoing moisturization and care; commonly often flares after contact with irritants or chemicals."
eczema,"The patient has areas of skin that are tender and sore located on the face and scalp (common in babies); the person has pain and tenderness from cracks and fissures. The condition is variable, with periods of calm and sudden flare-ups and sometimes worsened by sweating or heat."
eczema,The patient has faintly discolored patches that are darker or lighter than surrounding skin located in skin creases and folds; the person reports constant discomfort and burning sensation. The condition is mild and intermittent and sometimes flares after infections or insect bites.
eczema,"Symptoms include red, inflamed rash with small bumps at on the neck and chest. The individual feels self-conscious and embarrassed about visible patches — the eczema is variable, with periods of calm and sudden flare-ups and often flares after contact with irritants or chemicals."
eczema,"The patient has thickened, leathery skin from repeated scratching located on the trunk and limbs; the person feels unbearably itchy, especially at night. The condition is moderate with frequent flares and may be triggered by hot showers or harsh cleansers."
eczema,On the wrists and ankles show areas of skin that are tender and sore; patient notes they notices intense pruritus that triggers scratching. This is typically severe and persistent and may be triggered by hot showers or harsh cleansers.
eczema,The patient has faintly discolored patches that are darker or lighter than surrounding skin located on the face and scalp (common in babies); the person experiences sharp stinging when skin is broken. The condition is severe and persistent and sometimes worsened by sweating or heat.
eczema,"The patient has clusters of small, itchy bumps that may become raw located in skin creases and folds; the person feels unbearably itchy, especially at night. The condition is severe and persistent and often worse in dry or cold weather."
eczema,"The patient has clusters of small, itchy bumps that may become raw located on the palms and soles; the person feels the skin is tight and raw after scratching. The condition is chronic, requiring ongoing moisturization and care and may flare with stress or lack of sleep."
eczema,"The patient has skin that flakes, crusts, or forms scabs located on the hands and fingers; the person feels self-conscious and embarrassed about visible patches. The condition is mild and intermittent and can worsen during periods of hormonal change."
eczema,"On the trunk and limbs show thickened, leathery skin from repeated scratching; patient notes they reports constant discomfort and burning sensation. This is typically chronic, requiring ongoing moisturization and care and sometimes worsened by sweating or heat."
eczema,"Inside the elbows and behind the knees show clusters of small, itchy bumps that may become raw; patient notes they experiences social discomfort and reduced quality of life. This is typically mild and intermittent and may be triggered by hot showers or harsh cleansers."
eczema,"Clusters of small, itchy bumps that may become raw appearing in skin creases and folds. The patient feels restless and loses sleep due to the itch and describes the disease as severe and persistent. Sometimes worsened by sweating or heat."
eczema,"Symptoms include thickened, leathery skin from repeated scratching at on the wrists and ankles. The individual reports anxiety and frustration about frequent flare-ups — the eczema is moderate with frequent flares and can be aggravated by certain fabrics like wool."
eczema,"On the hands and fingers show patches of skin that are rough and scaly; patient notes they feels unbearably itchy, especially at night. This is typically variable, with periods of calm and sudden flare-ups and can worsen during periods of hormonal change."
eczema,"Red, inflamed rash with small bumps appearing on the hands and fingers. The patient feels the skin is tight and raw after scratching and describes the disease as moderate with frequent flares. Sometimes flares after infections or insect bites."
eczema,"Dry, cracked skin that may bleed or ooze appearing around the eyes and eyelids. The patient reports constant discomfort and burning sensation and describes the disease as moderate with frequent flares. Linked to exposure to allergens like dust and pollen."
eczema,"On the palms and soles show dry, cracked skin that may bleed or ooze; patient notes they feels the skin is tight and raw after scratching. This is typically severe and persistent and can worsen during periods of hormonal change."
eczema,"Intensely itchy, dry and scaly patches of skin appearing in skin creases and folds. The patient has pain and tenderness from cracks and fissures and describes the disease as mild and intermittent. May flare with stress or lack of sleep."
eczema,"Red, inflamed rash with small bumps appearing on the hands and fingers. The patient feels the skin is tight and raw after scratching and describes the disease as moderate with frequent flares. Can be aggravated by certain fabrics like wool."
eczema,"On the neck and chest show clusters of small, itchy bumps that may become raw; patient notes they feels restless and loses sleep due to the itch. This is typically moderate with frequent flares and can be aggravated by certain fabrics like wool."
eczema,"Faintly discolored patches that are darker or lighter than surrounding skin appearing on the wrists and ankles. The patient feels unbearably itchy, especially at night and describes the disease as mild and intermittent. May be triggered by hot showers or harsh cleansers."
eczema,"Presentation: intensely itchy, dry and scaly patches of skin on inside the elbows and behind the knees. Patient feels restless and loses sleep due to the itch. Course: moderate with frequent flares; commonly can be aggravated by certain fabrics like wool."
eczema,"The patient has faintly discolored patches that are darker or lighter than surrounding skin located in skin creases and folds; the person reports anxiety and frustration about frequent flare-ups. The condition is chronic, requiring ongoing moisturization and care and often worse in dry or cold weather."
eczema,"On the face and scalp (common in babies) show red, inflamed rash with small bumps; patient notes they feels the skin is tight and raw after scratching. This is typically mild and intermittent and linked to exposure to allergens like dust and pollen."
eczema,"Skin that flakes, crusts, or forms scabs appearing on the face and scalp (common in babies). The patient reports anxiety and frustration about frequent flare-ups and describes the disease as moderate with frequent flares. Often worse in dry or cold weather."
eczema,The patient has patches of skin that are rough and scaly located inside the elbows and behind the knees; the person feels restless and loses sleep due to the itch. The condition is moderate with frequent flares and sometimes worsened by sweating or heat.
eczema,"Presentation: patches of skin that are rough and scaly on in skin creases and folds. Patient reports anxiety and frustration about frequent flare-ups. Course: chronic, requiring ongoing moisturization and care; commonly may flare with stress or lack of sleep."
eczema,"Dry, cracked skin that may bleed or ooze appearing on the face and scalp (common in babies). The patient reports anxiety and frustration about frequent flare-ups and describes the disease as mild and intermittent. May flare with stress or lack of sleep."
eczema,"Symptoms include areas of skin that are tender and sore at on the neck and chest. The individual has pain and tenderness from cracks and fissures — the eczema is moderate with frequent flares and frequently triggered by soaps, detergents, or fragrances."
eczema,"Intensely itchy, dry and scaly patches of skin appearing on the palms and soles. The patient experiences sharp stinging when skin is broken and describes the disease as moderate with frequent flares. Often flares after contact with irritants or chemicals."
eczema,Symptoms include blistering or weeping lesions in acute flares at on the neck and chest. The individual experiences sharp stinging when skin is broken — the eczema is mild and intermittent and sometimes worsened by sweating or heat.
eczema,On the wrists and ankles show patches of skin that are rough and scaly; patient notes they reports constant discomfort and burning sensation. This is typically severe and persistent and linked to exposure to allergens like dust and pollen.
eczema,"Areas of skin that are tender and sore appearing in skin creases and folds. The patient feels restless and loses sleep due to the itch and describes the disease as mild and intermittent. Frequently triggered by soaps, detergents, or fragrances."
eczema,"On exposed areas like the forearms show dry, cracked skin that may bleed or ooze; patient notes they has pain and tenderness from cracks and fissures. This is typically mild and intermittent and frequently triggered by soaps, detergents, or fragrances."
eczema,"Around the eyes and eyelids show areas of skin that are tender and sore; patient notes they feels restless and loses sleep due to the itch. This is typically variable, with periods of calm and sudden flare-ups and can worsen during periods of hormonal change."
eczema,"The patient has red, inflamed rash with small bumps located on the trunk and limbs; the person experiences social discomfort and reduced quality of life. The condition is moderate with frequent flares and can be aggravated by certain fabrics like wool."
eczema,"Areas of skin that are tender and sore appearing inside the elbows and behind the knees. The patient feels the skin is tight and raw after scratching and describes the disease as chronic, requiring ongoing moisturization and care. Sometimes worsened by sweating or heat."
eczema,"The patient has areas of skin that are tender and sore located on the hands and fingers; the person feels restless and loses sleep due to the itch. The condition is chronic, requiring ongoing moisturization and care and linked to exposure to allergens like dust and pollen."
eczema,"Symptoms include blistering or weeping lesions in acute flares at in skin creases and folds. The individual has pain and tenderness from cracks and fissures — the eczema is variable, with periods of calm and sudden flare-ups and linked to exposure to allergens like dust and pollen."
eczema,Symptoms include blistering or weeping lesions in acute flares at in skin creases and folds. The individual feels self-conscious and embarrassed about visible patches — the eczema is moderate with frequent flares and may be triggered by hot showers or harsh cleansers.
eczema,"On exposed areas like the forearms show dry, cracked skin that may bleed or ooze; patient notes they experiences social discomfort and reduced quality of life. This is typically severe and persistent and may be triggered by hot showers or harsh cleansers."
eczema,"On the wrists and ankles show intensely itchy, dry and scaly patches of skin; patient notes they has pain and tenderness from cracks and fissures. This is typically moderate with frequent flares and may be triggered by hot showers or harsh cleansers."
eczema,"Presentation: clusters of small, itchy bumps that may become raw on around the eyes and eyelids. Patient notices intense pruritus that triggers scratching. Course: variable, with periods of calm and sudden flare-ups; commonly often flares after contact with irritants or chemicals."
eczema,"On the palms and soles show skin that flakes, crusts, or forms scabs; patient notes they feels self-conscious and embarrassed about visible patches. This is typically mild and intermittent and can be aggravated by certain fabrics like wool."
eczema,"Presentation: clusters of small, itchy bumps that may become raw on around the eyes and eyelids. Patient reports constant discomfort and burning sensation. Course: moderate with frequent flares; commonly can be aggravated by certain fabrics like wool."
eczema,"Symptoms include thickened, leathery skin from repeated scratching at on the face and scalp (common in babies). The individual feels unbearably itchy, especially at night — the eczema is mild and intermittent and sometimes worsened by sweating or heat."
eczema,"Presentation: clusters of small, itchy bumps that may become raw on on the hands and fingers. Patient notices intense pruritus that triggers scratching. Course: variable, with periods of calm and sudden flare-ups; commonly can worsen during periods of hormonal change."
eczema,The patient has areas of skin that are tender and sore located on the palms and soles; the person reports anxiety and frustration about frequent flare-ups. The condition is moderate with frequent flares and may flare with stress or lack of sleep.
eczema,"Symptoms include red, inflamed rash with small bumps at on the trunk and limbs. The individual experiences sharp stinging when skin is broken — the eczema is moderate with frequent flares and sometimes flares after infections or insect bites."
eczema,"Presentation: intensely itchy, dry and scaly patches of skin on in skin creases and folds. Patient experiences sharp stinging when skin is broken. Course: mild and intermittent; commonly often flares after contact with irritants or chemicals."
eczema,"Symptoms include faintly discolored patches that are darker or lighter than surrounding skin at in skin creases and folds. The individual feels the skin is tight and raw after scratching — the eczema is chronic, requiring ongoing moisturization and care and linked to exposure to allergens like dust and pollen."
eczema,"Presentation: clusters of small, itchy bumps that may become raw on in skin creases and folds. Patient reports anxiety and frustration about frequent flare-ups. Course: chronic, requiring ongoing moisturization and care; commonly often flares after contact with irritants or chemicals."
eczema,On the palms and soles show faintly discolored patches that are darker or lighter than surrounding skin; patient notes they has pain and tenderness from cracks and fissures. This is typically moderate with frequent flares and can be aggravated by certain fabrics like wool.
eczema,"Faintly discolored patches that are darker or lighter than surrounding skin appearing on the neck and chest. The patient has pain and tenderness from cracks and fissures and describes the disease as variable, with periods of calm and sudden flare-ups. Frequently triggered by soaps, detergents, or fragrances."
eczema,"The patient has thickened, leathery skin from repeated scratching located on the wrists and ankles; the person feels restless and loses sleep due to the itch. The condition is severe and persistent and sometimes flares after infections or insect bites."
eczema,"Presentation: dry, cracked skin that may bleed or ooze on on the face and scalp (common in babies). Patient experiences sharp stinging when skin is broken. Course: variable, with periods of calm and sudden flare-ups; commonly may flare with stress or lack of sleep."
eczema,"Symptoms include red, inflamed rash with small bumps at on the trunk and limbs. The individual reports anxiety and frustration about frequent flare-ups — the eczema is severe and persistent and sometimes flares after infections or insect bites."
eczema,"Inside the elbows and behind the knees show areas of skin that are tender and sore; patient notes they experiences sharp stinging when skin is broken. This is typically variable, with periods of calm and sudden flare-ups and may be triggered by hot showers or harsh cleansers."
eczema,"Intensely itchy, dry and scaly patches of skin appearing on exposed areas like the forearms. The patient reports anxiety and frustration about frequent flare-ups and describes the disease as variable, with periods of calm and sudden flare-ups. Often worse in dry or cold weather."
eczema,"On the trunk and limbs show blistering or weeping lesions in acute flares; patient notes they reports anxiety and frustration about frequent flare-ups. This is typically chronic, requiring ongoing moisturization and care and sometimes flares after infections or insect bites."
eczema,"Symptoms include thickened, leathery skin from repeated scratching at on the palms and soles. The individual experiences sharp stinging when skin is broken — the eczema is severe and persistent and may be triggered by hot showers or harsh cleansers."
eczema,"Symptoms include intensely itchy, dry and scaly patches of skin at on the trunk and limbs. The individual feels restless and loses sleep due to the itch — the eczema is variable, with periods of calm and sudden flare-ups and may flare with stress or lack of sleep."
eczema,"On exposed areas like the forearms show dry, cracked skin that may bleed or ooze; patient notes they feels the skin is tight and raw after scratching. This is typically mild and intermittent and may be triggered by hot showers or harsh cleansers."
eczema,"Symptoms include clusters of small, itchy bumps that may become raw at inside the elbows and behind the knees. The individual reports constant discomfort and burning sensation — the eczema is variable, with periods of calm and sudden flare-ups and may flare with stress or lack of sleep."
eczema,"Presentation: dry, cracked skin that may bleed or ooze on inside the elbows and behind the knees. Patient has pain and tenderness from cracks and fissures. Course: variable, with periods of calm and sudden flare-ups; commonly linked to exposure to allergens like dust and pollen."
eczema,"Symptoms include faintly discolored patches that are darker or lighter than surrounding skin at around the eyes and eyelids. The individual feels restless and loses sleep due to the itch — the eczema is variable, with periods of calm and sudden flare-ups and can be aggravated by certain fabrics like wool."
eczema,The patient has blistering or weeping lesions in acute flares located on the hands and fingers; the person notices intense pruritus that triggers scratching. The condition is mild and intermittent and sometimes flares after infections or insect bites.
eczema,Presentation: patches of skin that are rough and scaly on on the neck and chest. Patient reports constant discomfort and burning sensation. Course: mild and intermittent; commonly often worse in dry or cold weather.
eczema,"Presentation: thickened, leathery skin from repeated scratching on inside the elbows and behind the knees. Patient experiences social discomfort and reduced quality of life. Course: moderate with frequent flares; commonly sometimes worsened by sweating or heat."
eczema,Faintly discolored patches that are darker or lighter than surrounding skin appearing on the hands and fingers. The patient experiences social discomfort and reduced quality of life and describes the disease as moderate with frequent flares. Often flares after contact with irritants or chemicals.
eczema,"Presentation: patches of skin that are rough and scaly on on the face and scalp (common in babies). Patient experiences social discomfort and reduced quality of life. Course: chronic, requiring ongoing moisturization and care; commonly frequently triggered by soaps, detergents, or fragrances."
eczema,On the hands and fingers show blistering or weeping lesions in acute flares; patient notes they experiences social discomfort and reduced quality of life. This is typically mild and intermittent and can be aggravated by certain fabrics like wool.
eczema,Presentation: areas of skin that are tender and sore on on the trunk and limbs. Patient experiences sharp stinging when skin is broken. Course: mild and intermittent; commonly can worsen during periods of hormonal change.
eczema,"The patient has red, inflamed rash with small bumps located on the wrists and ankles; the person experiences social discomfort and reduced quality of life. The condition is mild and intermittent and can worsen during periods of hormonal change."
eczema,"In skin creases and folds show patches of skin that are rough and scaly; patient notes they reports anxiety and frustration about frequent flare-ups. This is typically severe and persistent and frequently triggered by soaps, detergents, or fragrances."
eczema,"Symptoms include patches of skin that are rough and scaly at inside the elbows and behind the knees. The individual reports anxiety and frustration about frequent flare-ups — the eczema is variable, with periods of calm and sudden flare-ups and frequently triggered by soaps, detergents, or fragrances."
eczema,"On the palms and soles show patches of skin that are rough and scaly; patient notes they feels self-conscious and embarrassed about visible patches. This is typically variable, with periods of calm and sudden flare-ups and may flare with stress or lack of sleep."
eczema,"Symptoms include blistering or weeping lesions in acute flares at on exposed areas like the forearms. The individual feels the skin is tight and raw after scratching — the eczema is variable, with periods of calm and sudden flare-ups and often flares after contact with irritants or chemicals."
eczema,"Clusters of small, itchy bumps that may become raw appearing on the wrists and ankles. The patient feels restless and loses sleep due to the itch and describes the disease as moderate with frequent flares. Frequently triggered by soaps, detergents, or fragrances."
eczema,"Symptoms include faintly discolored patches that are darker or lighter than surrounding skin at on the neck and chest. The individual notices intense pruritus that triggers scratching — the eczema is chronic, requiring ongoing moisturization and care and can worsen during periods of hormonal change."
eczema,Symptoms include patches of skin that are rough and scaly at inside the elbows and behind the knees. The individual notices intense pruritus that triggers scratching — the eczema is severe and persistent and may flare with stress or lack of sleep.
eczema,"Around the eyes and eyelids show thickened, leathery skin from repeated scratching; patient notes they has pain and tenderness from cracks and fissures. This is typically severe and persistent and can be aggravated by certain fabrics like wool."
eczema,"The patient has blistering or weeping lesions in acute flares located in skin creases and folds; the person feels unbearably itchy, especially at night. The condition is chronic, requiring ongoing moisturization and care and sometimes worsened by sweating or heat."
eczema,"Symptoms include thickened, leathery skin from repeated scratching at on the trunk and limbs. The individual notices intense pruritus that triggers scratching — the eczema is chronic, requiring ongoing moisturization and care and sometimes worsened by sweating or heat."
eczema,"Presentation: faintly discolored patches that are darker or lighter than surrounding skin on on the palms and soles. Patient feels unbearably itchy, especially at night. Course: mild and intermittent; commonly can be aggravated by certain fabrics like wool."
eczema,"Symptoms include areas of skin that are tender and sore at on the neck and chest. The individual has pain and tenderness from cracks and fissures — the eczema is chronic, requiring ongoing moisturization and care and linked to exposure to allergens like dust and pollen."
eczema,"Skin that flakes, crusts, or forms scabs appearing in skin creases and folds. The patient feels restless and loses sleep due to the itch and describes the disease as variable, with periods of calm and sudden flare-ups. Sometimes flares after infections or insect bites."
eczema,Presentation: patches of skin that are rough and scaly on on the palms and soles. Patient has pain and tenderness from cracks and fissures. Course: severe and persistent; commonly can be aggravated by certain fabrics like wool.
eczema,"Presentation: red, inflamed rash with small bumps on on the neck and chest. Patient feels restless and loses sleep due to the itch. Course: mild and intermittent; commonly sometimes flares after infections or insect bites."
eczema,"On the neck and chest show thickened, leathery skin from repeated scratching; patient notes they notices intense pruritus that triggers scratching. This is typically severe and persistent and can worsen during periods of hormonal change."
eczema,"Presentation: clusters of small, itchy bumps that may become raw on on the wrists and ankles. Patient reports constant discomfort and burning sensation. Course: moderate with frequent flares; commonly can be aggravated by certain fabrics like wool."
eczema,Presentation: patches of skin that are rough and scaly on on the face and scalp (common in babies). Patient has pain and tenderness from cracks and fissures. Course: mild and intermittent; commonly sometimes flares after infections or insect bites.
eczema,"Presentation: blistering or weeping lesions in acute flares on inside the elbows and behind the knees. Patient feels unbearably itchy, especially at night. Course: chronic, requiring ongoing moisturization and care; commonly can be aggravated by certain fabrics like wool."
eczema,"Symptoms include faintly discolored patches that are darker or lighter than surrounding skin at on the hands and fingers. The individual feels unbearably itchy, especially at night — the eczema is chronic, requiring ongoing moisturization and care and can be aggravated by certain fabrics like wool."
eczema,Faintly discolored patches that are darker or lighter than surrounding skin appearing on the palms and soles. The patient feels restless and loses sleep due to the itch and describes the disease as moderate with frequent flares. Often worse in dry or cold weather.
eczema,"The patient has faintly discolored patches that are darker or lighter than surrounding skin located on the hands and fingers; the person reports constant discomfort and burning sensation. The condition is variable, with periods of calm and sudden flare-ups and often flares after contact with irritants or chemicals."
eczema,"Clusters of small, itchy bumps that may become raw appearing inside the elbows and behind the knees. The patient feels self-conscious and embarrassed about visible patches and describes the disease as moderate with frequent flares. Can worsen during periods of hormonal change."
eczema,"On the neck and chest show red, inflamed rash with small bumps; patient notes they reports constant discomfort and burning sensation. This is typically chronic, requiring ongoing moisturization and care and may be triggered by hot showers or harsh cleansers."
eczema,"Symptoms include clusters of small, itchy bumps that may become raw at on exposed areas like the forearms. The individual experiences sharp stinging when skin is broken — the eczema is chronic, requiring ongoing moisturization and care and may be triggered by hot showers or harsh cleansers."
eczema,"On the wrists and ankles show faintly discolored patches that are darker or lighter than surrounding skin; patient notes they experiences social discomfort and reduced quality of life. This is typically variable, with periods of calm and sudden flare-ups and can be aggravated by certain fabrics like wool."
eczema,"Presentation: clusters of small, itchy bumps that may become raw on inside the elbows and behind the knees. Patient experiences social discomfort and reduced quality of life. Course: mild and intermittent; commonly sometimes worsened by sweating or heat."
eczema,On the hands and fingers show blistering or weeping lesions in acute flares; patient notes they feels self-conscious and embarrassed about visible patches. This is typically moderate with frequent flares and may flare with stress or lack of sleep.
eczema,"On the face and scalp (common in babies) show red, inflamed rash with small bumps; patient notes they feels unbearably itchy, especially at night. This is typically variable, with periods of calm and sudden flare-ups and often flares after contact with irritants or chemicals."
eczema,"Faintly discolored patches that are darker or lighter than surrounding skin appearing on the wrists and ankles. The patient feels unbearably itchy, especially at night and describes the disease as moderate with frequent flares. Can be aggravated by certain fabrics like wool."
eczema,Presentation: faintly discolored patches that are darker or lighter than surrounding skin on on the hands and fingers. Patient experiences sharp stinging when skin is broken. Course: severe and persistent; commonly can worsen during periods of hormonal change.
eczema,Areas of skin that are tender and sore appearing on the hands and fingers. The patient feels the skin is tight and raw after scratching and describes the disease as moderate with frequent flares. May flare with stress or lack of sleep.
eczema,"On the hands and fingers show dry, cracked skin that may bleed or ooze; patient notes they feels unbearably itchy, especially at night. This is typically moderate with frequent flares and can be aggravated by certain fabrics like wool."
eczema,"Clusters of small, itchy bumps that may become raw appearing on the wrists and ankles. The patient notices intense pruritus that triggers scratching and describes the disease as mild and intermittent. Often flares after contact with irritants or chemicals."
eczema,"Symptoms include areas of skin that are tender and sore at on the wrists and ankles. The individual feels the skin is tight and raw after scratching — the eczema is chronic, requiring ongoing moisturization and care and often flares after contact with irritants or chemicals."
eczema,"On exposed areas like the forearms show red, inflamed rash with small bumps; patient notes they feels unbearably itchy, especially at night. This is typically variable, with periods of calm and sudden flare-ups and linked to exposure to allergens like dust and pollen."
eczema,Inside the elbows and behind the knees show blistering or weeping lesions in acute flares; patient notes they reports constant discomfort and burning sensation. This is typically moderate with frequent flares and can worsen during periods of hormonal change.
eczema,"Symptoms include intensely itchy, dry and scaly patches of skin at on the wrists and ankles. The individual experiences social discomfort and reduced quality of life — the eczema is mild and intermittent and may flare with stress or lack of sleep."
eczema,"Symptoms include skin that flakes, crusts, or forms scabs at on the palms and soles. The individual has pain and tenderness from cracks and fissures — the eczema is moderate with frequent flares and can worsen during periods of hormonal change."
eczema,Faintly discolored patches that are darker or lighter than surrounding skin appearing on the hands and fingers. The patient notices intense pruritus that triggers scratching and describes the disease as severe and persistent. May be triggered by hot showers or harsh cleansers.
